age,gender,education_level,government_region,W8wave5,W8wave6,W8wave7,w1rwa11,w1rwa21,w1rwa31,w1wing1a,w1EQUALITY1,w2UKparty1,w2UKparty2,w2UKparty3,w2trdegl5,w2trdegl7,w2trdegl8,w2trdegl9,w2efftrst1,w2efftrst2,w2efftrst3,w2efftrst4,w2efftrst5,w2efftrst6,w2efftrst14,w2efftrst15,w2efftrst16,w2efftrst18,w2natid1,w2natid2,w2natid3,w2natid4,w2eupan1,w2eupan2,w2eupan3,w2eupan4,w2eupan5,w2eupan6,w2eupan7,w2eupan8,w2eupan9,w2eupan10,w5econ1,w5econ2,w5econp1,w5econp2,w5EUref1,w6econ1,w6econ2,w6econp1,w6econp2,w6EUref1,w7cgreed,w7banks,w7EUref1,Weight_wave10,w10econ1,w10econ2,w10econp1,w10econp2,w10EUref1
43,Female,CSE grades 2-5,North West,1.342617197681397,1.202686657594918,1.192051787174777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little better,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Gotten a lot better,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Agree,Strongly agree,I would vote for Britain to remain a member of the European Union,1.145884915441361,Got a little better,Got a little better,Get a little better,Get a little better,I would vote for Britain to leave the European Union.
34,Female,"University or CNAA higher degree (eg M.Sc, Ph.D)",London,.4095421775790626,.8613071148718318,.878604143291804,Agree,Agree,Neither agree nor disagree,5,4,,Conservative,,Don’t know,Don’t know,Don’t know,Don’t know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither unimportant nor important,Don’t know,Quite Often,Very important,Disagree,Don’t know,Don’t know,Don’t know,Don’t know,Disagree,Don’t know,Don’t know,Don’t know,Strongly agree,Got a little better,Got a little worse,Stay the same,Stay the same,Don't know,Don't know,Gotten a lot worse,Don't know,Don't know,I would vote for Britain to remain a member of the European Union,Agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.9378859247710726,Got a little better,Stayed the same,Get a little better,Get a little better,I would vote for Britain to remain a member of the European Union.
63,Male,Teaching qualification (not degree),North West,.8259062148083139,.8398126647352954,.7786026824045155,Neither agree nor disagree,Neither agree nor disagree,Agree,6,7 -  Government should do more to reduce income inequality.,Conservative,,,Negative effect,Positive effect,No effect,No effect,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Extremely important,Extremely well,Don’t know,Extremely important,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Got a little worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union.,Gotten a little worse,Gotten a little worse,Get a little better,Get a little worse,I would vote for Britain to remain a member of the European Union,Agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.6359320170267296,Stayed the same,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union.
85,Male,Recognized trade apprenticeship completed,South East,1.029702524939988,.94366406730369,.933859537144561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Agree,Neither agree nor disagree,I would vote for Britain to leave the European Union,,,,,,
42,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",South East,,,,Agree,Neither agree nor disagree,Neither agree nor disagree,3,4,Liberal Democrat,,,Don’t know,No effect,No effect,Negative effect,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Very important,Very well,Rarely,Very important,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Don’t know,Agree,,,,,,,,,,,,,,,,,,,
66,Female,Refused,West Midlands,.3564162555439243,.3010931040004911,.2854504126756993,Strongly agree,Strongly agree,Strongly agree,5,1 - Government should get out of the business of promoting income equality.,Conservative,,,No effect,Positive effect,Negative effect,No effect,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Extremely important,Extremely well,Always,Extremely important,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Got a lot worse,Got a lot worse,Get a lot worse,Get a lot worse,I would vote for Britain to leave the European Union.,Gotten a lot worse,Gotten a lot worse,Get a lot worse,Get a lot worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,,,,,,
65,Female,Refused,South West,.8168622349865237,.802778985768181,.7734822213267181,Agree,Agree,Strongly disagree,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Get a little better,Get a little better,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Agree,Agree,I would vote for Britain to remain a member of the European Union,.6781012052911827,Got a lot better,Got a little better,Stay the same,Get a little better,I would vote for Britain to leave the European Union.
71,Female,No formal qualifications,West Midlands,,,,Agree,Agree,Agree,5,4,,,Conservative,Negative effect,Don’t know,No effect,Don’t know,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither unimportant nor important,Not at all,Don’t know,Neither unimportant nor important,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Don’t know,Don’t know,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,
47,Male,University diploma,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",North East,.9295051566638055,.7640486477714306,.7106587820462698,Strongly agree,Agree,Neither agree nor disagree,5,5,,,Don't know,Negative effect,Don’t know,Negative effect,Negative effect,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Very important,Very well,Don’t know,Very important,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Don’t know,Agree,Stayed the same,Got a little worse,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Gotten a little worse,Get a little worse,Don't know,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.5433905511856735,Got a little worse,Got a little worse,Stay the same,Get a lot worse,I would vote for Britain to remain a member of the European Union.
62,Female,"Other technical, professional or higher qualification",South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Female,Clerical and commercial,Scotland,1.34899196072327,1.116208884861663,1.097110858352062,Strongly agree,Strongly agree,Strongly agree,1,7 -  Government should do more to reduce income inequality.,,,Labour,Negative effect,Positive effect,Don’t know,Negative effect,Neither agree nor disagree,Don’t Know,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Very unimportant,Very well,Quite Often,Very important,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Got a little worse,Stayed the same,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,,,,,,
47,Male,"CSE grade 1, GCE O level, GCSE, School Certificate",South East,1.668911909836665,1.568669017032992,1.567230506103279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little better,Get a little better,Stay the same,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Gotten a little better,Get a little better,Stay the same,I would vote for Britain to leave the European Union,Agree,Agree,I would vote for Britain to remain a member of the European Union,1.600295349725825,Stayed the same,Got a little better,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.
69,Male,City and Guild certificate - advanced,East of England,1.554777011692534,1.514237409659868,1.551895784886342,Strongly agree,Agree,Agree,6,2,Conservative,,,No effect,Positive effect,Negative effect,Positive effect,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither unimportant nor important,Not at all,Sometimes,Neither unimportant nor important,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Got a little better,Got a little worse,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Neither agree nor disagree,Agree,I would vote for Britain to leave the European Union,,,,,,
69,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",Scotland,.7646525147065161,.7311832888178759,.6939051127506274,Strongly disagree,Strongly disagree,Strongly disagree,0,7 -  Government should do more to reduce income inequality.,No-none,,,Negative effect,Positive effect,Don’t know,Negative effect,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Not important at all,Don’t know,Never,Not important at all,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Got a little worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union.,Gotten a little worse,Stayed the same,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.5450404730525096,Got a little worse,Stayed the same,Stay the same,Get a little worse,I would not vote.
75,Male,Recognized trade apprenticeship completed,Yorkshire and the Humber,,,,Agree,Strongly agree,Agree,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Male,"University or CNAA higher degree (eg M.Sc, Ph.D)",Yorkshire and the Humber,.7446077349116962,.7746221693150082,.7368800919098035,Strongly disagree,Strongly disagree,Strongly disagree,5,5,,No-none,,Negative effect,Positive effect,Negative effect,Negative effect,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Not important at all,Not very well,Don’t know,Not important at all,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Got a little worse,Got a lot worse,Get a little worse,Get a little worse,Don't know,Gotten a little worse,Gotten a lot worse,Get a lot worse,Get a little worse,Don't know,Strongly agree,Strongly agree,Don't know,.6919537626454825,Got a little worse,Got a lot worse,Get a lot worse,Get a little worse,Don't know
74,Female,Clerical and commercial,East Midlands,.9557266027560243,1.000699106222668,.9777086349169575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little better,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Get a little better,Get a little better,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,.7085187637064173,Got a lot better,Got a lot better,Don't know,Don't know,I would vote for Britain to leave the European Union.
37,Female,"Other technical, professional or higher qualification",North West,,,,Strongly agree,Strongly agree,Strongly agree,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Female,CSE grades 2-5,South East,.8407572078083844,.8115308767357562,.7675235183637887,Agree,Neither agree nor disagree,Strongly disagree,6,5,Labour,,,Positive effect,Positive effect,Positive effect,Positive effect,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Very important,Very well,Always,Extremely important,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Got a little worse,Got a little worse,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Gotten a little worse,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.6461820046156054,Stayed the same,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union.
69,Male,"Other technical, professional or higher qualification",Yorkshire and the Humber,1.385667347134455,1.303723760030151,1.236546291640853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Stay the same,Stay the same,I would vote for Britain to leave the European Union.,Stayed the same,Stayed the same,Get a little worse,Get a little better,I would vote for Britain to leave the European Union,Agree,Strongly agree,I would vote for Britain to leave the European Union,.7158652717430977,Got a little worse,Got a little worse,Stay the same,Get a little better,I would vote for Britain to leave the European Union.
36,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",London,1.59886484300489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little better,Get a lot better,Get a lot better,I would vote for Britain to leave the European Union.,,,,,,,,,,,,,,
77,Female,Teaching qualification (not degree),South West,.8168622349865237,.6797337482458587,.6740468917551317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Agree,Agree,I would vote for Britain to remain a member of the European Union,.6761299354150062,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.
41,Female,"University or CNAA higher degree (eg M.Sc, Ph.D)",East of England,,,,Disagree,Neither agree nor disagree,Strongly disagree,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Female,GCE A level or Higher Certificate,East of England,,,,Agree,Strongly agree,Disagree,9,1 - Government should get out of the business of promoting income equality.,Conservative,,,Negative effect,Positive effect,No effect,Negative effect,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Very important,Extremely well,Always,Very important,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,
70,Male,No formal qualifications,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Female,"Other technical, professional or higher qualification",South East,,,,Agree,Strongly agree,Strongly disagree,5,1 - Government should get out of the business of promoting income equality.,,No-none,,Don’t know,Don’t know,Negative effect,Negative effect,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Extremely important,Extremely well,Never,Extremely important,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Don’t know,Don’t know,Don’t know,Strongly disagree,Agree,,,,,,,,,,,,,,,,,,,
55,Female,University diploma,East of England,.1604901823038112,.1411372268567667,.146723039577394,Strongly agree,Disagree,Strongly agree,5,7 -  Government should do more to reduce income inequality.,Green,,,No effect,No effect,No effect,No effect,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither unimportant nor important,Not very well,Sometimes,Neither unimportant nor important,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Got a lot worse,Got a little worse,Stay the same,Get a lot worse,I would vote for Britain to leave the European Union.,Gotten a lot worse,Stayed the same,Stay the same,Get a lot worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,.2896634319007809,Got a lot worse,Got a little worse,Stay the same,Don't know,I would vote for Britain to remain a member of the European Union.
69,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",North West,,,,Strongly agree,Agree,Agree,9,3,,Conservative,,Positive effect,Positive effect,Positive effect,Positive effect,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Extremely important,Extremely well,Always,Extremely important,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,
43,Male,onc,North West,1.0659563598176,,,Neither agree nor disagree,Agree,Agree,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Stay the same,Stay the same,I would vote for Britain to leave the European Union.,,,,,,,,,,,,,,
42,Male,"University or CNAA higher degree (eg M.Sc, Ph.D)",London,,,,Strongly agree,Strongly agree,Neither agree nor disagree,2,7 -  Government should do more to reduce income inequality.,,Labour,,Positive effect,Positive effect,Positive effect,Positive effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Male,"CSE grade 1, GCE O level, GCSE, School Certificate",East of England,.8892108763553536,.7997623012919796,.7792237452667049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Stayed the same,Stay the same,Get a little worse,I would vote for Britain to remain a member of the European Union.,Gotten a little worse,Stayed the same,Stay the same,Get a little worse,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,.6397456575490276,Got a little worse,Stayed the same,Stay the same,Get a little worse,I would vote for Britain to leave the European Union.
64,Female,Scottish Higher Certificate,Scotland,.8316657777264671,1.116208884861663,1.097110858352062,Strongly agree,Agree,Disagree,5,4,,Labour,,Positive effect,Don’t know,No effect,No effect,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Very important,Very well,Quite Often,Extremely important,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Stayed the same,Got a little worse,Get a little worse,Get a little worse,Don't know,Stayed the same,Gotten a little better,Stay the same,Stay the same,Don't know,Strongly agree,Strongly agree,Don't know,,,,,,
56,Male,"Other technical, professional or higher qualification",Wales,.993123359340083,1.097414506436428,1.156117615645995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a lot worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,,,,,,
70,Female,GCE A level or Higher Certificate,Yorkshire and the Humber,1.16677579530436,.9153329552916044,.9074775228330295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union,Agree,Agree,I would vote for Britain to remain a member of the European Union,,,,,,
56,Male,GCE A level or Higher Certificate,North West,.8571588362328419,.8732804966019551,.8402252456207034,Agree,Strongly agree,Strongly agree,7,7 -  Government should do more to reduce income inequality.,,Conservative,,Negative effect,No effect,Negative effect,Negative effect,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Very important,Very well,Always,Very important,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Agree,Got a little worse,Got a little worse,Get a lot worse,Get a little worse,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a lot worse,Get a lot worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,.7798564773200461,Got a lot worse,Got a little worse,Get a lot worse,Get a lot worse,I would vote for Britain to leave the European Union.
64,Female,"CSE grade 1, GCE O level, GCSE, School Certificate",South East,.8407572078083844,.8115308767357562,.7675235183637887,Neither agree nor disagree,Agree,Agree,5,6,,,Labour,Negative effect,No effect,Positive effect,Negative effect,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither unimportant nor important,Very well,Quite Often,Neither unimportant nor important,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,,,,,,
53,Male,CSE grades 2-5,North West,,,,Strongly agree,Strongly agree,Agree,4,5,,United Kingdom Independence Party (UKIP),,Positive effect,Positive effect,Negative effect,Positive effect,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Extremely important,Extremely well,Don’t know,Extremely important,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,
46,Female,City and Guild certificate,Yorkshire and the Humber,1.824525990549582,1.788880634693837,1.801204687467112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Stay the same,Stay the same,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union,Neither agree nor disagree,Strongly agree,I would vote for Britain to leave the European Union,,,,,,
60,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",Yorkshire and the Humber,,,,Strongly disagree,Neither agree nor disagree,Strongly disagree,5,5,,Labour,,Don’t know,Don’t know,No effect,Don’t know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Very important,Extremely well,Always,Very important,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Don’t know,Strongly disagree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,,,
60,Female,University diploma,South East,.4583154961926383,.396577665833462,.3561641934237993,Strongly disagree,Strongly disagree,Strongly disagree,2,6,Labour,,,Positive effect,Positive effect,Positive effect,Positive effect,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither unimportant nor important,Not very well,Sometimes,Neither unimportant nor important,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Stayed the same,Stayed the same,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.5595064822681822,Got a lot worse,Got a little worse,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.
63,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",Scotland,.4887011929423909,,,Strongly disagree,Disagree,Strongly disagree,3,6,,,Labour,Negative effect,Don’t know,No effect,No effect,Don’t Know,Strongly agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Neither unimportant nor important,Very well,Sometimes,Very important,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly agree,Got a little worse,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,,,,,,,,,,,,,,
27,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",East of England,,,,Agree,Agree,Neither agree nor disagree,7,5,,Conservative,,Don’t know,Positive effect,Don’t know,Positive effect,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Extremely important,Very well,Don’t know,Extremely important,Neither agree nor disagree,Agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,,,,,,,,,,,,,,,,,,,
31,Female,"University or CNAA higher degree (eg M.Sc, Ph.D)",Yorkshire and the Humber,,,,Neither agree nor disagree,Neither agree nor disagree,Disagree,2,4,,Liberal Democrat,,Negative effect,Positive effect,Positive effect,Positive effect,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neither unimportant nor important,Not very well,Don’t know,Neither unimportant nor important,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,,
49,Male,GCE A level or Higher Certificate,London,,,,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,4,5,,,Liberal Democrat,Negative effect,Positive effect,Negative effect,Negative effect,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,Neither unimportant nor important,Not very well,Quite Often,Neither unimportant nor important,Neither agree nor disagree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,,,
56,Female,"CSE grade 1, GCE O level, GCSE, School Certificate",East Midlands,.9345972647276343,1.085572759858839,1.097592249746427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Got a lot worse,Stay the same,Stay the same,Don't know,Gotten a little worse,Gotten a lot worse,Stay the same,Stay the same,Don't know,Agree,Agree,Don't know,1.404387118404706,Stayed the same,Stayed the same,Stay the same,Get a little better,Don't know
62,Female,Recognized trade apprenticeship completed,North West,.7858301596232725,1.120716262378764,1.081000950907318,Strongly agree,Agree,Agree,7,4,,Conservative,,No effect,Positive effect,No effect,No effect,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Extremely important,Extremely well,Always,Extremely important,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,.5621175770527946,Got a little better,Stayed the same,Don't know,Don't know,I would vote for Britain to leave the European Union.
35,Female,"University or CNAA higher degree (eg M.Sc, Ph.D)",London,,,,Strongly agree,Strongly agree,Strongly agree,5,4,,Don't know,,Negative effect,Negative effect,Negative effect,Negative effect,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Not important at all,Not at all,Always,Not important at all,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
